,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
45,Scarborough,L'Amoreaux West,Excellent Car Wash & Care Centre星皇汽車護理洗車中心,513cc96ae4b06a870749afaf,Car Wash,43.82012113295353,-79.33184337261223,4,Chinese Restaurant,Bubble Tea Shop,Supermarket,Fast Food Restaurant,Korean Restaurant,Szechuan Restaurant,Asian Restaurant,Dumpling Restaurant,Hong Kong Restaurant,Ice Cream Shop
46,North York,"Fairview,Henry Farm,Oriole",Circle K Carwash,5ad924cfc666666ab5c22510,Car Wash,43.775458,-79.347965,0,Coffee Shop,Clothing Store,Food Court,Juice Bar,Shopping Mall,Fast Food Restaurant,Liquor Store,Electronics Store,Candy Store,Restaurant
47,Downtown Toronto,Berczy Park,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.64301742643359,-79.37766965665584,0,Hotel,Steakhouse,Coffee Shop,Japanese Restaurant,Liquor Store,Neighborhood,Beer Bar,Basketball Stadium,Lake,Salad Place
48,North York,"Fairview,Henry Farm,Oriole",Parkway Car Was,4f5a70fce4b0300585a66f14,Car Wash,43.77460023433525,-79.33809824346469,4,Middle Eastern Restaurant,Pharmacy,Coffee Shop,Grocery Store,Chinese Restaurant,Shopping Mall,Japanese Restaurant,Hotel,Sandwich Place,Filipino Restaurant
49,Downtown Toronto,"Adelaide,King,Richmond",Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336,0,Cosmetics Shop,Steakhouse,Coffee Shop,Asian Restaurant,American Restaurant,Monument / Landmark,Bookstore,Food Court,Shopping Mall,Seafood Restaurant
50,Scarborough,"Dorset Park,Scarborough Town Centre,Wexford Heights",Avenue Car & Truck Rentals,5162d00ae4b0d7d62e65c265,Car Wash,43.757928,-79.276076,4,Indian Restaurant,Electronics Store,Pet Store,Vietnamese Restaurant,Chinese Restaurant,Fast Food Restaurant,Yoga Studio,Farmers Market,Eastern European Restaurant,Ethiopian Restaurant
51,North York,"CFB Toronto,Downsview East",0098 Optimum Car Care,56872f58498e36861fd7da29,Car Wash,43.7344798,-79.44647570000001,0,Fast Food Restaurant,Pizza Place,Italian Restaurant,Pet Store,Coffee Shop,Convenience Store,Jewelry Store,Metro Station,Hardware Store,Flea Market
52,West Toronto,"High Park,The Junction South",Junction Car Wash,5c2150b3ee7120002cf9cc28,Car Wash,43.665367,-79.476261,0,Coffee Shop,Bar,Deli / Bodega,Nail Salon,Breakfast Spot,Italian Restaurant,Bus Line,Cajun / Creole Restaurant,Bakery,Burger Joint
53,York,"Del Ray,Keelesdale,Mount Dennis,Silverthorn",Petro-Canada,4d222c352eb1f04d2e0dfec1,Gas Station,43.680812,-79.475829,0,Latin American Restaurant,Coffee Shop,Bakery,Sandwich Place,Thrift / Vintage Store,Gas Station,Beer Store,Café,BBQ Joint,Filipino Restaurant
54,North York,Glencairn,Silver Star Car Wash,4c1155b26e5dc9b639ecaf2d,Car Wash,43.70931545540021,-79.45376678691572,0,Pizza Place,Rental Car Location,Fish Market,Mediterranean Restaurant,Bookstore,Fast Food Restaurant,Furniture / Home Store,Gas Station,Grocery Store,Gym
