,Venue_id,Venue,Venue Latitude,Venue Longitude,Nearby Venue,Nearby Venue Category
129,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Hunan Garden Restaurant,Chinese Restaurant
130,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Coco Fresh Tea and Juice,Bubble Tea Shop
131,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,The Alley,Bubble Tea Shop
132,4c1aab3ee9c4ef3bad7f45aa,Petro-Canada,43.819846999999996,-79.32621400000001,Alderland Centre 千潮匯,Shopping Mall
133,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Hollandaise Diner,Breakfast Spot
134,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Press Books Coffee Vinyl,Coffee Shop
135,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Relish Bar & Grill,Bar
136,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Duckworth's Fish and Chips,Fish & Chips Shop
137,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Shoppers Drug Mart,Pharmacy
138,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Basil Thai Kitchen,Thai Restaurant
139,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Sultan Shawarma & Falafel,Middle Eastern Restaurant
140,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Happy Sushi,Sushi Restaurant
141,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Petro-Canada,Gas Station
142,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Subway,Sandwich Place
143,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Sobeys,Grocery Store
144,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Danforth GO Station,Train Station
145,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Grillies,Mexican Restaurant
146,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Pavillion Pastries,Café
147,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,KFC,Fast Food Restaurant
148,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,241 Pizza,Pizza Place
149,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Wellwise by Shoppers Drug Mart,Doctor's Office
150,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Danforth Village Quality Fruits & Vegetables,Grocery Store
151,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Tim Hortons,Coffee Shop
152,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Hakim Optical,Optical Shop
153,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,TTC Bus #64 Main,Bus Line
154,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,Main Street Subway Station,Metro Station
155,5a9392c448b04e6e4c60239b,Mr. Shine Car Wash,43.687534,-79.30598,TTC Bus 113 Danforth,Bus Line
156,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Civello Salon & Spa,Salon / Barbershop
157,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Four Seasons Hotel Toronto,Hotel
158,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Page & Panel: The TCAF Shop,Comic Shop
159,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Kitchen Stuff Plus,Furniture / Home Store
160,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Buca,Italian Restaurant
161,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Blu Ristorante and Lounge,Italian Restaurant
162,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,dbar,Lounge
163,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Café Boulud,French Restaurant
164,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,The Spa at Four Seasons Hotel Toronto,Spa
165,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,889 Yoga,Yoga Studio
166,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Salad Days,Salad Place
167,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Paramount Fine Foods,Middle Eastern Restaurant
168,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Fat Lamb Kouzina,Greek Restaurant
169,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Sabai Sabai,Thai Restaurant
170,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Pusateri's Fine Foods,Gourmet Shop
171,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Balzac's Coffee,Café
172,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Trattoria Nervosa,Italian Restaurant
173,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Pi Co.,Pizza Place
174,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Yamato Japanese Restaurant,Japanese Restaurant
175,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Masonic Temple,Music Venue
176,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Starbucks,Coffee Shop
177,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Starbucks,Coffee Shop
178,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Starbucks,Coffee Shop
179,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Anthropologie,Women's Store
180,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Yorkville Crepes,Café
181,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Ramsden Park,Park
182,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Planta Yorkville,Vegetarian / Vegan Restaurant
183,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Eataly,Gourmet Shop
184,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Bloor-Yorkville,Shopping Mall
185,4c4685ab19fde21ea3c70576,Canadian Tire Gas+,43.67283952465455,-79.387527707766,Summer's Homemade Ice Cream,Ice Cream Shop
186,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,The Roti Hut,Caribbean Restaurant
187,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,Panagio's Breakfast & Lunch,Breakfast Spot
188,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,Francesca Bakery,Bakery
189,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,The Captain's Boil,Seafood Restaurant
190,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,Twilight,Lounge
191,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,Le Spot,Pool Hall
192,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,El Pulgarcito,Latin American Restaurant
193,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,Quiznos,Sandwich Place
194,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,McCowan Rd & Sheppard Ave E,Intersection
195,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,Mark's,Clothing Store
196,4edeb3d5b8f76b6e9cd76f27,Canadian Tire Gas+,43.78998337938359,-79.2596018621999,Borsalino,Mediterranean Restaurant
197,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,Sultan Of Samosas,Indian Restaurant
198,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,Tim Hortons,Coffee Shop
199,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,Great Foods,Grocery Store
200,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,Rally Sports Bar + Smokehouse,BBQ Joint
201,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,The Beer Store,Beer Store
202,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,Subway,Sandwich Place
203,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,Sunrise Bar & Grill,Food
204,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,Pizza Hut,Pizza Place
205,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,Victoria Park Pharmacy,Pharmacy
206,4c34cbd6213c2d7f1419395d,Canadian Tire Gas+,43.71963763889704,-79.30481662180023,Hudson's Bay,Department Store
207,4c3fb24ace54e21ee181081a,Petro-Canada,43.782135,-79.23478399999999,The Keg Steakhouse + Bar,Steakhouse
208,4c3fb24ace54e21ee181081a,Petro-Canada,43.782135,-79.23478399999999,Best Western Plus Executive Inn,Hotel
209,4c3fb24ace54e21ee181081a,Petro-Canada,43.782135,-79.23478399999999,Petro-Canada,Gas Station
210,4c3fb24ace54e21ee181081a,Petro-Canada,43.782135,-79.23478399999999,Subway,Sandwich Place
211,4c3fb24ace54e21ee181081a,Petro-Canada,43.782135,-79.23478399999999,Tim Hortons,Coffee Shop
212,4c3fb24ace54e21ee181081a,Petro-Canada,43.782135,-79.23478399999999,McDonald's,Fast Food Restaurant
213,4c3fb24ace54e21ee181081a,Petro-Canada,43.782135,-79.23478399999999,Marchant's,Sporting Goods Shop
214,4c3fb24ace54e21ee181081a,Petro-Canada,43.782135,-79.23478399999999,The Local Cafe Restaurant,Bistro
215,4c3fb24ace54e21ee181081a,Petro-Canada,43.782135,-79.23478399999999,Quality Bread Bakery,Bakery
216,4c4229deff711b8d401f1305,Canadian Tire Gas+,43.852115999999995,-79.255465,Federick Restaurant,Hakka Restaurant
217,4c4229deff711b8d401f1305,Canadian Tire Gas+,43.852115999999995,-79.255465,Bulk Barn,Grocery Store
